TABLE_NAME,COLUMN_NAME,IS_NULLABLE,COLUMN_TYPE
CDM_SOURCE,CDM_SOURCE_NAME,NO,CHARACTER VARYING
CDM_SOURCE,CDM_SOURCE_ABBREVIATION,YES,CHARACTER VARYING
CDM_SOURCE,CDM_HOLDER,YES,CHARACTER VARYING
CDM_SOURCE,SOURCE_DESCRIPTION,YES,TEXT
CDM_SOURCE,SOURCE_DOCUMENTATION_REFERENCE,YES,CHARACTER VARYING
CDM_SOURCE,CDM_ETL_REFERENCE,YES,CHARACTER VARYING
CDM_SOURCE,SOURCE_RELEASE_DATE,YES,DATE
CDM_SOURCE,CDM_RELEASE_DATE,YES,DATE
CDM_SOURCE,CDM_VERSION,YES,CHARACTER VARYING
CDM_SOURCE,VOCABULARY_VERSION,YES,CHARACTER VARYING
PERSON,PERSON_ID,NO,INTEGER
PERSON,GENDER_CONCEPT_ID,NO,INTEGER
PERSON,YEAR_OF_BIRTH,NO,INTEGER
PERSON,MONTH_OF_BIRTH,YES,INTEGER
PERSON,DAY_OF_BIRTH,YES,INTEGER
PERSON,TIME_OF_BIRTH,YES,CHARACTER VARYING
PERSON,RACE_CONCEPT_ID,YES,INTEGER
PERSON,ETHNICITY_CONCEPT_ID,YES,INTEGER
PERSON,LOCATION_ID,YES,INTEGER
PERSON,PROVIDER_ID,YES,INTEGER
PERSON,CARE_SITE_ID,YES,INTEGER
PERSON,PERSON_SOURCE_VALUE,YES,CHARACTER VARYING
PERSON,GENDER_SOURCE_VALUE,YES,CHARACTER VARYING
PERSON,GENDER_SOURCE_CONCEPT_ID,YES,INTEGER
PERSON,RACE_SOURCE_VALUE,YES,CHARACTER VARYING
PERSON,RACE_SOURCE_CONCEPT_ID,YES,INTEGER
PERSON,ETHNICITY_SOURCE_VALUE,YES,CHARACTER VARYING
PERSON,ETHNICITY_SOURCE_CONCEPT_ID,YES,INTEGER
OBSERVATION_PERIOD,OBSERVATION_PERIOD_ID,NO,INTEGER
OBSERVATION_PERIOD,PERSON_ID,NO,INTEGER
OBSERVATION_PERIOD,OBSERVATION_PERIOD_START_DATE,NO,DATE
OBSERVATION_PERIOD,OBSERVATION_PERIOD_END_DATE,NO,DATE
OBSERVATION_PERIOD,PERIOD_TYPE_CONCEPT_ID,NO,INTEGER
SPECIMEN,SPECIMEN_ID,NO,INTEGER
SPECIMEN,PERSON_ID,NO,INTEGER
SPECIMEN,SPECIMEN_CONCEPT_ID,NO,INTEGER
SPECIMEN,SPECIMEN_TYPE_CONCEPT_ID,NO,INTEGER
SPECIMEN,SPECIMEN_DATE,NO,DATE
SPECIMEN,SPECIMEN_TIME,YES,CHARACTER VARYING
SPECIMEN,QUANTITY,YES,DOUBLE PRECISION
SPECIMEN,UNIT_CONCEPT_ID,YES,INTEGER
SPECIMEN,ANATOMIC_SITE_CONCEPT_ID,YES,INTEGER
