atc,atc_name,rxnorm_concept_id,rxnorm_concept name,atc_concept_id,rxnorm_code
A01AA,CARIES PROPHYLACTIC AGENTS,19035704,Calcium Carbonate,21600004,1897
A01AA,CARIES PROPHYLACTIC AGENTS,19068715,monofluorophosphate,21600004,52885
A01AA01,SODIUM FLUORIDE,19069022,Sodium Fluoride,21600005,9873
A01AA04,STANNOUS FLUORIDE,1036094,Stannous Fluoride,21600008,10030
A01AA51,"SODIUM FLUORIDE, COMBINATIONS",927322,potassium nitrate,21600010,34316
A01AA51,"SODIUM FLUORIDE, COMBINATIONS",19035704,Calcium Carbonate,21600010,1897
A01AA51,"SODIUM FLUORIDE, COMBINATIONS",19069022,Sodium Fluoride,21600010,9873
A01AB02,HYDROGEN PEROXIDE,1776430,Hydrogen Peroxide,21600012,5499
A01AB03,CHLORHEXIDINE,1790812,Chlorhexidine,21600013,2358
A01AB04,AMPHOTERICIN B,1717240,Amphotericin B,21600014,732
A01AB11,VARIOUS,991706,SULFONATED PHENOL,21600021,236718
A01AB11,VARIOUS,1036600,Sulfuric acid,21600021,10231
A01AB11,VARIOUS,1750087,Povidone-Iodine,21600021,8611
A01AB18,CLOTRIMAZOLE,1000632,Clotrimazole,21600028,2623
A01AB22,DOXYCYCLINE,1738521,Doxycycline,21600031,3640
A01AB23,MINOCYCLINE,1708880,Minocycline,21600032,6980
A01AC01,TRIAMCINOLONE,903963,Triamcinolone,21600034,10759
A01AD07,AMLEXANOX,957623,amlexanox,21600043,46307
A01AD11,VARIOUS,906914,Urea,21600045,11002
A01AD11,VARIOUS,916460,Benzalkonium,21600045,1378
A01AD11,VARIOUS,917006,Benzocaine,21600045,1399
A01AD11,VARIOUS,919681,Benzyl Alcohol,21600045,1426
A01AD11,VARIOUS,942494,chlorophyllin copper complex,21600045,82242
A01AD11,VARIOUS,958999,carbamide peroxide,21600045,47686
A01AD11,VARIOUS,961145,Glycerin,21600045,4910
A01AD11,VARIOUS,989301,Cetylpyridinium,21600045,2286
A01AD11,VARIOUS,19044317,zinc chloride,21600045,39937
A02AA01,MAGNESIUM CARBONATE,908464,magnesium carbonate,21600049,29155
A02AA04,MAGNESIUM HYDROXIDE,992956,Magnesium Hydroxide,21600052,6581
A02AA05,MAGNESIUM SILICATE,908730,magnesium trisilicate,21600053,29170
A02AB,ALUMINIUM COMPOUNDS,934431,basic aluminum carbonate gel,21600055,18789
A02AB,ALUMINIUM COMPOUNDS,959420,Aluminum carbonate,21600055,89858
A02AB01,ALUMINIUM HYDROXIDE,985247,Aluminum Hydroxide,21600056,612
A02AB03,ALUMINIUM PHOSPHATE,19030675,aluminum phosphate,21600058,17618
A02AB04,DIHYDROXIALUMINI SODIUM CARBONATE,989727,dihydroxyaluminum sodium carbonate,21600059,23163
A02AC,CALCIUM COMPOUNDS,1337159,Calcium Glycerophosphate,21600064,1909
A02AC01,CALCIUM CARBONATE,1516800,Risedronate,21600065,73056
A02AC01,CALCIUM CARBONATE,19035704,Calcium Carbonate,21600065,1897
A02AD01,ORDINARY SALT COMBINATIONS,908464,magnesium carbonate,21600069,29155
A02AD01,ORDINARY SALT COMBINATIONS,985247,Aluminum Hydroxide,21600069,612
A02AD01,ORDINARY SALT COMBINATIONS,992956,Magnesium Hydroxide,21600069,6581
A02AD01,ORDINARY SALT COMBINATIONS,19035704,Calcium Carbonate,21600069,1897
A02AD02,MAGALDRATE,908360,magaldrate,21600070,29151
A02AF01,MAGALDRATE AND ANTIFLATULENTS,908360,magaldrate,21600075,29151
A02AF01,MAGALDRATE AND ANTIFLATULENTS,966991,Simethicone,21600075,9796
A02AF02,ORDINARY SALT COMBINATIONS AND ANTIFLATULENTS,966991,Simethicone,21600076,9796
A02AF02,ORDINARY SALT COMBINATIONS AND ANTIFLATULENTS,985247,Aluminum Hydroxide,21600076,612
A02AF02,ORDINARY SALT COMBINATIONS AND ANTIFLATULENTS,992956,Magnesium Hydroxide,21600076,6581
A02AF02,ORDINARY SALT COMBINATIONS AND ANTIFLATULENTS,1701928,Activated Charcoal,21600076,272
A02AF02,ORDINARY SALT COMBINATIONS AND ANTIFLATULENTS,19035704,Calcium Carbonate,21600076,1897
A02AH,ANTACIDS WITH SODIUM BICARBONATE,939506,Sodium Bicarbonate,21600078,36676
A02AX,"ANTACIDS, OTHER COMBINATIONS",939506,Sodium Bicarbonate,21600079,36676
A02AX,"ANTACIDS, OTHER COMBINATIONS",962398,Glycine,21600079,4919
A02AX,"ANTACIDS, OTHER COMBINATIONS",19027080,potassium bicarbonate,21600079,34296
A02AX,"ANTACIDS, OTHER COMBINATIONS",19035704,Calcium Carbonate,21600079,1897
A02BA01,CIMETIDINE,997276,Cimetidine,21600082,2541
A02BA02,RANITIDINE,961047,Ranitidine,21600083,9143
A02BA03,FAMOTIDINE,953076,Famotidine,21600084,4278
A02BA04,NIZATIDINE,950696,Nizatidine,21600085,42319
A02BA07,RANITIDINE BISMUTH CITRATE,961047,Ranitidine,21600088,9143
A02BA53,"FAMOTIDINE, COMBINATIONS",953076,Famotidine,21600091,4278
A02BA53,"FAMOTIDINE, COMBINATIONS",992956,Magnesium Hydroxide,21600091,6581
A02BA53,"FAMOTIDINE, COMBINATIONS",19035704,Calcium Carbonate,21600091,1897
A02BB01,MISOPROSTOL,1150871,Misoprostol,21600093,42331
A02BC,PROTON PUMP INHIBITORS,19039926,dexlansoprazole,21600095,816346
A02BC01,OMEPRAZOLE,923645,Omeprazole,21600096,7646
A02BC01,OMEPRAZOLE,939506,Sodium Bicarbonate,21600096,36676
A02BC02,PANTOPRAZOLE,948078,pantoprazole,21600097,40790
A02BC03,LANSOPRAZOLE,929887,lansoprazole,21600098,17128
A02BC03,LANSOPRAZOLE,1115008,Naproxen,21600098,7258
A02BC03,LANSOPRAZOLE,1713332,Amoxicillin,21600098,723
A02BC03,LANSOPRAZOLE,1750500,Clarithromycin,21600098,21212
A02BC05,ESOMEPRAZOLE,904453,Esomeprazole,21600100,283742
A02BD07,"LANSOPRAZOLE, AMOXICILLIN AND CLARITHROMYCIN",929887,lansoprazole,21600108,17128
A02BD07,"LANSOPRAZOLE, AMOXICILLIN AND CLARITHROMYCIN",1713332,Amoxicillin,21600108,723
A02BD07,"LANSOPRAZOLE, AMOXICILLIN AND CLARITHROMYCIN",1750500,Clarithromycin,21600108,21212
A02BX02,SUCRALFATE,1036228,Sucralfate,21600111,10156
A02BX13,ALGINIC ACID,908464,magnesium carbonate,21600122,29155
A02BX13,ALGINIC ACID,985247,Aluminum Hydroxide,21600122,612
A03AA01,OXYPHENCYCLIMINE,19019094,oxyphencyclimine,21600130,32698
A03AA07,DICYCLOVERINE,734275,Phenobarbital,21600135,8134
A03AA07,DICYCLOVERINE,924724,Dicyclomine,21600135,3361
A03AB,"SYNTH ANTICHOLINERGICS,QUATERNARY AMMONIUM CMPDS",950792,clidinium,21600139,21232
A03AB02,GLYCOPYRRONIUM,963353,Glycopyrrolate,21600141,4955
A03AB03,OXYPHENONIUM,19025928,Oxyphenonium,21600142,7818
A03AB05,PROPANTHELINE,953391,Propantheline,21600144,8761
A03AB07,METHANTHELINE,19004153,methantheline,21600146,6821
A03AB08,TRIDIHEXETHYL,19042695,tridihexethyl,21600147,38617
A03AB09,ISOPROPAMIDE,19058613,Isopropamide,21600148,89784
A03AB10,HEXOCYCLIUM,19001653,hexocyclium,21600149,26867
A03AB12,MEPENZOLATE,904704,Mepenzolate,21600151,107770
A03AB15,DIPHEMANIL,19135822,Diphemanil,21600154,89782
A03AD01,PAPAVERINE,1326901,Papaverine,21600166,7895
A03AE01,ALOSETRON,948555,alosetron,21600170,85248
A03AE02,TEGASEROD,916943,tegaserod,21600171,139778
A03AX13,SILICONES,966991,Simethicone,21600187,9796
A03BA,"BELLADONNA ALKALOIDS, TERTIARY AMINES",914335,Atropine,21600191,1223
A03BA,"BELLADONNA ALKALOIDS, TERTIARY AMINES",923672,Hyoscyamine,21600191,153970
A03BA,"BELLADONNA ALKALOIDS, TERTIARY AMINES",965748,Scopolamine,21600191,9601
A03BA01,ATROPINE,914335,Atropine,21600192,1223
A03BA03,HYOSCYAMINE,923672,Hyoscyamine,21600193,153970
A03BA04,BELLADONNA TOTAL ALKALOIDS,1116109,Belladonna Alkaloids,21600194,1359
A03BB03,METHYLSCOPOLAMINE,1158632,Methscopolamine,21600198,89785
A03CA01,ISOPROPAMIDE AND PSYCHOLEPTICS,752061,Prochlorperazine,21600203,8704
A03CA01,ISOPROPAMIDE AND PSYCHOLEPTICS,19058613,Isopropamide,21600203,89784
A03CA02,CLIDINIUM AND PSYCHOLEPTICS,950792,clidinium,21600204,21232
A03CA02,CLIDINIUM AND PSYCHOLEPTICS,990678,Chlordiazepoxide,21600204,2356
A03CA02,CLIDINIUM AND PSYCHOLEPTICS,1158632,Methscopolamine,21600204,89785
C01AA04,DIGITOXIN,19026180,Digitoxin,21600233,3403
C01AA05,DIGOXIN,1326303,Digoxin,21600234,3407
C01AA07,DESLANOSIDE,19017074,Deslanoside,21600236,3248
C01AC01,G-STROPHANTHIN,19129640,Ouabain,21600244,7762
C01BA02,PROCAINAMIDE,1351461,Procainamide,21600251,8700
C01BA03,DISOPYRAMIDE,1335606,Disopyramide,21600252,3541
C01BB01,LIDOCAINE,989878,Lidocaine,21600260,6387
