COD,DESCRIZIONE,CONCEPT_CODE,CONCEPT_ID,CONCEPT_NAME
001,Allergologia,3,38004448,Allergy/Immunology
003,Anatomia ed istologia patologica,246RM2200X,38004144,"Technologists, Technicians & Other Technical Service Providers, Technician, Pathology, Medical Laboratory"
006,Cardiochirurgia pediatrica,78,38004497,Cardiac Surgery
007,Cardiochirurgia,78,38004497,Cardiac Surgery
008,Cardiologia,6,38004451,Cardiology
009,Chirurgia generale,2,38004447,General Surgery
010,Chirurgia maxillo facciale,85,38004504,Maxillofacial Surgery
012,Chirurgia plastica,24,38004467,Plastic And Reconstructive Surgery
013,Chirurgia toracica,33,38004473,Thoracic Surgery
014,Chirurgia vascolare,77,38004496,Vascular Surgery
018,Ematologia,246QH0000X,38004134,"Technologists, Technicians & Other Technical Service Providers, Spec/Tech, Pathology, Hematology"
020,Immunologia,3,38004448,Allergy/Immunology
021,Geriatria,38,38004478,Geriatric Medicine
024,Malattie infettive e tropicali,44,38004484,Infectious Disease
025,Medicina del lavoro,67,38004492,Occupational Therapy
026,Medicina generale,1,38004446,General Practice
027,Medicina legale,173000000X,38003790,"Other Service Providers, Legal Medicine"
029,Nefrologia,39,38004479,Nephrology
030,Neurochirurgia,14,38004459,Neurosurgery
032,Neurologia,13,38004458,Neurology
033,Neuropsichiatria infantile,86,38004505,Neuropsychiatry
034,Oculistica,18,38004463,Ophthalmology
035,Odontoiatria e stomatologia,1223G0001X,38003675,"Dental Providers, Dentist, General Practice"
036,Ortopedia e traumatologia,20,38004465,Orthopedic Surgery
037,Ostetricia e ginecologia,16,38004461,Obstetrics/Gynecology
038,Otorinolaringoiatria,4,38004449,Otolaryngology
039,Pediatria,37,38004477,Pediatric Medicine
040,Psichiatria,26,38004469,Psychiatry
043,Urologia,34,38004474,Urology
048,Nefrologia (abilitazione trapianto rene),39,38004479,Nephrology
049,Terapia intensiva,81,38004500,Critical care (intensivist)
052,Dermatologia,7,38004452,Dermatology
058,Gastroenterologia,10,38004455,Gastroenterology
061,Medicina nucleare,36,38004476,Nuclear Medicine
064,Oncologia,90,38004507,Medical Oncology
065,Oncologia pediatrica,90,38004507,Medical Oncology
066,Oncoematologia,83,38004502,Hematology/Oncology
068,Pneumologia,29,38004472,Pulmonary Disease
069,Radiologia,30,38004675, Physician/Diagnostic Radiology
070,Radioterapia,94,38004511,Interventional Radiology
071,Reumatologia,66,38004491,Rheumatology
074,Radioterapia oncologica,92,38004509,Radiation Oncology
076,Neurochirurgia pediatrica,14,38004459,Neurosurgery
078,Urologia pediatrica,39,38004479,Nephrology
502,Cardiologia pediatrica,6,38004451,Cardiology
503,Chirurgia ricostruttiva della mano,24,38004467,Plastic And Reconstructive Surgery
509,Genetica medica,170100000X,38003775,"Other Service Providers, Medical Genetics, Ph.D. Medical Genetics"
510,Genetica medica pediatrica,170100000X,38003775,"Other Service Providers, Medical Genetics, Ph.D. Medical Genetics"
513,Malattie infettive pediatriche,44,38004484,Infectious Disease
514,Neuroradiologia,30,38004675, Physician/Diagnostic Radiology
515,Psicologia,68,38004493,Clinical Psychology
521,Laboratorio di immunologia e allergologia,3,38004448,Allergy/Immunology
522,Medicina e chirurgia di accettazione e d'urgenza,93,38004510,Emergency Medicine
523,Microbiologia,246QM0900X,38004141,"Technologists, Technicians & Other Technical Service Providers, Spec/Tech, Pathology, Microbiology"
526,Anestesia,5,38004450,Anesthesiology
