id,name,address,city,state,zip,lat,lon,phone,revenue,utilization
HFZCVGLYPCNWRMMLSIOGTEXBNSALTOREXSPM,UMASS MEMORIAL MEDICAL GROUP  INC.,100 HIGHLAND ST,MEDFORD,MA,02186-3881,42.376043,-70.83582,,2066.56,76
KBGHXTMQCANFXZOOKUESWAHGBHURLTBRAZTZ,MINUTECLINIC DIAGNOSTIC OF MASSACHUSETTS  LLC,100 HIGHLAND ST,ARLINGTON,MA,02186-3881,41.725351,-72.498111,,11236.92,35
DPVKOAGLWFXAASGUMPJAZYBPDPCBZGBMDXYC,MEDICAL CARE OF BOSTON MANAGEMENT CORPORATION,100 HIGHLAND ST,FALL RIVER,MA,02186-3881,42.423844,-71.101033,,3874.8,55
EUMDGJTXUYRKRIHKLYAMHXJCOAJFMWTSUGYK,MEDICAL CARE OF BOSTON MANAGEMENT CORPORATION,100 HIGHLAND ST,ATTLEBORO,MA,02186-3881,42.601977,-71.201713,,8653.71999999999,43
AICISCUSVPIACOUNICQISVDJDPJLWPFKKWQE,MINUTECLINIC DIAGNOSTIC OF MASSACHUSETTS  LLC,100 HIGHLAND ST,HOLLISTON,MA,02186-3881,42.047565,-72.539978,,6458,74
QGMLQGGAKQPHOAQARNVCANQKSFJMCGBEPSIU,STEWARD MEDICAL GROUP  INC,115 MILL ST,NEWTON,MA,02186-3881,41.617623,-72.572257,,2066.56,69
KQMQDLXTLJFVTPGRYKQLJNDDGEYPPMDFXVEX,STURDY MEMORIAL ASSOCIATES  INC.,100 HIGHLAND ST,NEWTON,MA,02186-3881,42.164569,-70.99036,,5166.4,67
MTYXGYQRUWYOKMNKBXMNKDTDOYDXFJTUXPCL,MASSACHUSETTS GENERAL PHYSICIANS ORGANIZATION  INC,115 MILL ST,HANOVER,MA,02186-3881,42.395317,-70.84496,,6845.48,47
EPCGKQOIMEFDYSJFECYNNSDOHHZHJTGUWXEL,UMASS MEMORIAL MEDICAL GROUP  INC.,100 HIGHLAND ST,ATTLEBORO,MA,02186-3881,42.164569,-71.227845,,2841.52,42
DEPGFQZJZUHPOKGPAVPEUATMWQONPKCEYKPS,HALLMARK HEALTH MEDICAL ASSOCIATES INC,100 HIGHLAND ST,EAST LONGMEADOW,MA,02186-3881,42.396824,-72.642448,,5037.24,45
