TABLE_NAME,COLUMN_NAME,IS_NULLABLE,DATA_TYPE,DESCRIPTION
STEM_TABLE,DOMAIN_ID,NO,CHARACTER VARYING,"A foreign key idenfifying the domain this event belongs to. The domain drives the target CDM table this event will be recorded in.  If one is not set specify a default domain."
STEM_TABLE,ID,NO,INTEGER,"A unique identifier for identifying the event."
STEM_TABLE,PERSON_ID,NO,INTEGER,"A foreign key identifier to the Person. The demographic details of that Person are stored in the PERSON table."
STEM_TABLE,CONCEPT_ID,NO,INTEGER,"A foreign key that refers to a Standard Condition Concept identifier in the Standardized Vocabularies."
STEM_TABLE,START_DATE,NO,DATE,"The start date of the event."
STEM_TABLE,START_DATETIME,YES,DATETIME,"The start datetime of the event."
STEM_TABLE,END_DATE,YES,DATE,"The end date of the event."
STEM_TABLE,END_DATETIME,YES,DATETIME,"The end datetime of the event."
STEM_TABLE,TYPE_CONCEPT_ID,NO,INTEGER,"A foreign key to the predefined Concept identifier in the Standardized Vocabularies reflecting the source data from which the event was recorded, the level of standardization, and the type of occurrence."
STEM_TABLE,PROVIDER_ID,YES,INTEGER,"A foreign key to the Provider in the PROVIDER table who was responsible for capturing this event."
STEM_TABLE,VISIT_OCCURRENCE_ID,YES,INTEGER,"A foreign key to the visit in the VISIT table."
STEM_TABLE,VISIT_DETAIL_ID,YES,INTEGER,"A foreign key to the visit detail in the VISIT_DETAIL table."
STEM_TABLE,SOURCE_VALUE,YES,CHARACTER VARYING,"The source code for the Concept as it appears in the source data. This code is mapped to a Standard Concept in the Standardized Vocabularies and the original code is stored here for reference."
STEM_TABLE,SOURCE_CONCEPT_ID,YES,INTEGER,"A foreign key to a Concept that refers to the code used in the source."
STEM_TABLE,VALUE_AS_NUMBER,YES,DECIMAL,"A result where the result is expressed as a numeric value."
STEM_TABLE,VALUE_AS_STRING,YES,CHARACTER VARYING,"The result stored as a string. This is applicable where the result is expressed as verbatim text."
STEM_TABLE,VALUE_AS_CONCEPT_ID,YES,INTEGER,"A foreign key to a result represented as a Concept from the Standardized Vocabularies (e.g., positive/negative, present/absent, low/high, etc.)."
STEM_TABLE,UNIT_CONCEPT_ID,YES,INTEGER,"A foreign key to a predefined concept in the Standardized Vocabularies reflecting the unit the effective_drug_dose/measurement/observation/specimen value is expressed."
STEM_TABLE,VALUE_SOURCE_VALUE,YES,CHARACTER VARYING,"The source value associated with the content of the value_as_number or value_as_concept as stored in the source data."
STEM_TABLE,UNIT_SOURCE_CONCEPT_ID,YES,INTEGER,"A foreign key to a Concept that refers to the code used in the source for the unit."
STEM_TABLE,UNIT_SOURCE_VALUE,YES,CHARACTER VARYING,"The source code for the unit as it appears in the source data. This code is mapped to a standard unit concept in the Standardized Vocabularies and the original code is stored here for reference."
STEM_TABLE,VERBATIM_END_DATE,YES,DATE,"The verbatim end date (not derived) of the event."
STEM_TABLE,DAYS_SUPPLY,YES,INTEGER,"The number of days of supply of the medication as recorded in the original prescription or dispensing record."
STEM_TABLE,DOSE_UNIT_SOURCE_VALUE,YES,CHARACTER VARYING,"The information about the dose unit as detailed in the source."
STEM_TABLE,MODIFIER_CONCEPT_ID,YES,INTEGER,A foreign key to a Standard Concept identifier for a modifier (e.g. bilateral)
STEM_TABLE,MODIFIER_SOURCE_VALUE,YES,CHARACTER VARYING,The source code for the modifier as it appears in the source data.
STEM_TABLE,MEASUREMENT_TIME,YES,CHARACTER VARYING,"The time of the Measurement. This is present for backwards compatibility and will be deprecated in an upcoming version"
STEM_TABLE,OPERATOR_CONCEPT_ID,YES,INTEGER,"A foreign key identifier to the predefined Concept in the Standardized Vocabularies reflecting the mathematical operator that is applied to the value_as_number. Operators are <, ?, =, ?, >."
STEM_TABLE,QUANTITY,YES,INTEGER,"The number of individual Devices/Procedures/Drugs used for the exposure."
STEM_TABLE,RANGE_LOW,YES,FLOAT,"The lower limit of the normal range of the Measurement result. The lower range is assumed to be of the same unit of measure as the Measurement value."
STEM_TABLE,RANGE_HIGH,YES,FLOAT,"The upper limit of the normal range of the Measurement. The upper range is assumed to be of the same unit of measure as the Measurement value."
STEM_TABLE,STOP_REASON,YES,CHARACTER VARYING,"The reason that the condition was no longer present or the drug exposure stopped, as indicated in the source data."
STEM_TABLE,REFILLS,YES,INTEGER,"The number of refills after the initial prescription. The initial prescription is not counted, values start with 0."
STEM_TABLE,SIG,YES,CHARACTER VARYING,"The directions (�signetur�) on the Drug prescription as recorded in the original prescription (and printed on the container) or dispensing record."
STEM_TABLE,ROUTE_CONCEPT_ID,YES,INTEGER,"A foreign key to a predefined concept in the Standardized Vocabularies reflecting the route of administration."
STEM_TABLE,ROUTE_SOURCE_VALUE,YES,CHARACTER VARYING,"The information about the route of administration as detailed in the source."
STEM_TABLE,LOT_NUMBER,YES,CHARACTER VARYING,"An identifier assigned to a particular quantity or lot of Drug product from the manufacturer."
STEM_TABLE,UNIQUE_DEVICE_ID,YES,CHARACTER VARYING,"A UDI or equivalent identifying the instance of the Device used in the Person."
STEM_TABLE,PRODUCTION_ID,YES,CHARACTER VARYING,"This is the Production Identifier (UDI-PI) portion of the Unique Device Identification."
STEM_TABLE,ANATOMIC_SITE_CONCEPT_ID,YES,INTEGER,"A foreign key to a Standard Concept identifier for the anatomic location of specimen collection."
STEM_TABLE,DISEASE_STATUS_CONCEPT_ID,YES,INTEGER,"A foreign key to a Standard Concept identifier for the Disease Status of specimen collection."
STEM_TABLE,SPECIMEN_SOURCE_ID,YES,INTEGER,"The Specimen identifier as it appears in the source data."
STEM_TABLE,ANATOMIC_SITE_SOURCE_VALUE,YES,CHARACTER VARYING,"The information about the anatomic site as detailed in the source."
STEM_TABLE,DISEASE_STATUS_SOURCE_VALUE,YES,CHARACTER VARYING,"The information about the disease status as detailed in the source."
STEM_TABLE,CONDITION_STATUS_CONCEPT_ID,YES,CHARACTER VARYING,"A foreign key to the predefined Concept identifier in the Standardized Vocabularies reflecting the condition_status."
STEM_TABLE,CONDITION_STATUS_SOURCE_VALUE,YES,INTEGER,"The source code as it appears in the source data"
STEM_TABLE,QUALIFIER_CONCEPT_ID,YES,INTEGER,"A foreign key to a Standard Concept ID for a qualifier (e.g., severity of drug-drug interaction alert)"
STEM_TABLE,QUALIFIER_SOURCE_VALUE,YES,CHARACTER VARYING,"The source value associated with a qualifier to characterize the observation"
STEM_TABLE,EVENT_ID,YES,INTEGER,"If the record is related to another record in the database, this field is the primary key of the linked record."
STEM_TABLE,EVENT_FIELD_CONCEPT_ID,YES,INTEGER,"If the record is related to another record in the database, this field is the CONCEPT_ID that identifies which table the primary key of the linked record came from."
