TABLE_NAME,COLUMN_NAME,IS_NULLABLE
care_site,CARE_SITE_ID,NO
care_site,LOCATION_ID,YES
care_site,ORGANIZATION_ID,YES
care_site,PLACE_OF_SERVICE_CONCEPT_ID,YES
care_site,CARE_SITE_SOURCE_VALUE,YES
care_site,PLACE_OF_SERVICE_SOURCE_VALUE,YES
cohort,COHORT_ID,NO
cohort,COHORT_CONCEPT_ID,NO
cohort,COHORT_START_DATE,NO
cohort,COHORT_END_DATE,YES
cohort,SUBJECT_ID,NO
cohort,STOP_REASON,YES
condition_era,CONDITION_ERA_ID,NO
condition_era,PERSON_ID,NO
condition_era,CONDITION_CONCEPT_ID,NO
condition_era,CONDITION_ERA_START_DATE,NO
condition_era,CONDITION_ERA_END_DATE,NO
condition_era,CONDITION_TYPE_CONCEPT_ID,NO
condition_era,CONDITION_OCCURRENCE_COUNT,YES
condition_occurrence,CONDITION_OCCURRENCE_ID,NO
condition_occurrence,PERSON_ID,NO
condition_occurrence,CONDITION_CONCEPT_ID,NO
condition_occurrence,CONDITION_START_DATE,NO
condition_occurrence,CONDITION_END_DATE,YES
condition_occurrence,CONDITION_TYPE_CONCEPT_ID,NO
condition_occurrence,STOP_REASON,YES
condition_occurrence,ASSOCIATED_PROVIDER_ID,YES
condition_occurrence,VISIT_OCCURRENCE_ID,YES
condition_occurrence,CONDITION_SOURCE_VALUE,YES
death,PERSON_ID,NO
death,DEATH_DATE,NO
death,DEATH_TYPE_CONCEPT_ID,NO
death,CAUSE_OF_DEATH_CONCEPT_ID,YES
death,CAUSE_OF_DEATH_SOURCE_VALUE,YES
drug_cost,DRUG_COST_ID,NO
drug_cost,DRUG_EXPOSURE_ID,NO
drug_cost,PAID_COPAY,YES
drug_cost,PAID_COINSURANCE,YES
drug_cost,PAID_TOWARD_DEDUCTIBLE,YES
drug_cost,PAID_BY_PAYER,YES
drug_cost,PAID_BY_COORDINATION_BENEFITS,YES
drug_cost,TOTAL_OUT_OF_POCKET,YES
drug_cost,TOTAL_PAID,YES
drug_cost,INGREDIENT_COST,YES
drug_cost,DISPENSING_FEE,YES
drug_cost,AVERAGE_WHOLESALE_PRICE,YES
drug_cost,PAYER_PLAN_PERIOD_ID,YES
drug_era,DRUG_ERA_ID,NO
drug_era,PERSON_ID,NO
drug_era,DRUG_ERA_START_DATE,NO
drug_era,DRUG_ERA_END_DATE,NO
drug_era,DRUG_TYPE_CONCEPT_ID,NO
drug_era,DRUG_CONCEPT_ID,YES
drug_era,DRUG_EXPOSURE_COUNT,NO
drug_exposure,DRUG_EXPOSURE_ID,NO
drug_exposure,PERSON_ID,NO
drug_exposure,DRUG_CONCEPT_ID,NO
drug_exposure,DRUG_EXPOSURE_START_DATE,NO
drug_exposure,DRUG_EXPOSURE_END_DATE,YES
drug_exposure,DRUG_TYPE_CONCEPT_ID,NO
drug_exposure,STOP_REASON,YES
drug_exposure,REFILLS,YES
drug_exposure,QUANTITY,YES
drug_exposure,DAYS_SUPPLY,YES
drug_exposure,SIG,YES
drug_exposure,PRESCRIBING_PROVIDER_ID,YES
drug_exposure,VISIT_OCCURRENCE_ID,YES
drug_exposure,RELEVANT_CONDITION_CONCEPT_ID,YES
